Unnamed: 0,Cash & Cash Equivalents,Total Assets,Total Liabilities,Shareholders' Equity,Total Long-Term Liabilities,Total Current Liabilities,Long-Term Debt,Current Debt,Accion
2001-03-31,12.039,730.015,251.93,478.085,129.53,122.4,119.784,24.421,ORLY
2000-12-31,9.704,715.995,252.264,463.731,99.332,152.932,90.463,49.121,ORLY
2000-09-30,12.769,722.007,269.827,452.18,140.653,129.174,136.983,19.177,ORLY
2000-06-30,11.485,676.988,243.063,433.925,120.819,122.244,118.236,19.358,ORLY
2000-03-31,9.932,633.535,216.261,417.274,102.332,113.929,100.303,19.523,ORLY
1999-12-31,10.291,610.442,207.398,403.044,92.396,115.002,90.704,19.358,ORLY
1999-09-30,3.229,581.346,191.637,389.709,51.064,140.573,50.433,17.808,ORLY
1999-06-30,4.614,557.321,181.958,375.363,52.345,129.613,51.707,13.811,ORLY
1999-03-31,3.73,513.542,171.114,342.428,56.409,114.705,55.728,10.259,ORLY
1998-12-31,2.228,493.288,274.894,218.394,172.375,102.519,170.166,13.691,ORLY
1998-09-30,2.584,454.066,247.334,206.732,163.09,84.244,160.474,7.098,ORLY
1998-06-30,2.416,421.545,223.873,197.672,143.425,80.448,130.754,6.966,ORLY
1998-03-31,2.878,404.221,214.656,189.565,130.781,83.875,124.132,2.0,ORLY
1997-12-31,3.285,247.617,65.578,182.039,25.201,40.377,22.641,0.13,ORLY
1997-09-30,2.625,229.721,53.856,175.865,16.074,37.782,13.898,0.098,ORLY
1997-06-30,3.008,215.301,46.621,168.68,2.26,44.361,0.221,11.801,ORLY
1997-03-31,4.785,199.345,37.417,161.928,2.179,35.238,0.246,5.106,ORLY
1996-12-31,2.207,183.623,27.841,155.782,2.092,25.749,0.237,3.154,ORLY
1996-09-30,0.0,,,,,,,,ORLY
1996-06-30,0.0,,,,,,,,ORLY
1996-03-31,0.0,,,,,,,,ORLY
1995-12-31,26.243,153.604,19.734,133.87,1.559,18.175,0.358,0.231,ORLY
2023-03-31,1117.0,9845.0,14483.0,-4857.0,7660.0,6823.0,6445.0,646.0,OTIS
2022-12-31,1189.0,9819.0,14483.0,-4870.0,7640.0,6843.0,6413.0,670.0,OTIS
2022-09-30,1041.0,9342.0,14075.0,-4913.0,8083.0,5992.0,6784.0,103.0,OTIS
2022-06-30,1230.0,9913.0,14665.0,-4997.0,8327.0,6338.0,6961.0,81.0,OTIS
2022-03-31,3076.0,11795.0,14736.0,-5029.0,8494.0,6242.0,7080.0,51.0,OTIS
2021-12-31,3475.0,12279.0,15263.0,-3625.0,9016.0,6247.0,7585.0,24.0,OTIS
2021-09-30,1553.0,10472.0,13705.0,-3854.0,7342.0,6363.0,5822.0,38.0,OTIS
2021-06-30,1923.0,10857.0,14111.0,-3856.0,7395.0,6716.0,5843.0,343.0,OTIS
2021-03-31,1725.0,10505.0,13791.0,-3910.0,7396.0,6395.0,5821.0,341.0,OTIS
2020-12-31,1799.0,10710.0,13911.0,-3862.0,7238.0,6673.0,5629.0,701.0,OTIS
2020-09-30,1733.0,10473.0,13856.0,-4024.0,7565.0,6291.0,5887.0,538.0,OTIS
2020-06-30,1912.0,10441.0,14017.0,-4242.0,8255.0,5762.0,6637.0,33.0,OTIS
2020-03-31,1207.0,9524.0,13713.0,-4821.0,8358.0,5355.0,6637.0,67.0,OTIS
2019-12-31,1446.0,9687.0,7361.0,1700.0,1987.0,5374.0,391.0,34.0,OTIS
2019-09-30,0.0,,,,,,,,OTIS
2019-06-30,0.0,,,,,,,,OTIS
2019-03-31,0.0,,,,,,,,OTIS
2018-12-31,1329.0,9135.0,6920.0,1569.0,1617.0,5303.0,0.0,27.0,OTIS
